r[σ]         g_ii        
 2.69219e+01  9.77307e-08
 2.69588e+01  9.66616e-08
 2.69957e+01  9.56057e-08
 2.70327e+01  9.45629e-08
 2.70696e+01  9.35330e-08
 2.71065e+01  9.25159e-08
 2.71434e+01  9.15112e-08
 2.71804e+01  9.05190e-08
 2.72173e+01  8.95390e-08
 2.72542e+01  8.85711e-08
 2.72912e+01  8.76150e-08
 2.73281e+01  8.66708e-08
 2.73650e+01  8.57381e-08
 2.74020e+01  8.48169e-08
 2.74389e+01  8.39070e-08
 2.74758e+01  8.30082e-08
 2.75127e+01  8.21204e-08
 2.75497e+01  8.12435e-08
 2.75866e+01  8.03773e-08
 2.76235e+01  7.95217e-08
 2.76605e+01  7.86764e-08
 2.76974e+01  7.78416e-08
 2.77343e+01  7.70168e-08
 2.77713e+01  7.62022e-08
 2.78082e+01  7.53973e-08
 2.78451e+01  7.46023e-08
 2.78820e+01  7.38169e-08
 2.79190e+01  7.30411e-08
 2.79559e+01  7.22746e-08
 2.79928e+01  7.15175e-08
 2.80298e+01  7.07694e-08
 2.80667e+01  7.00305e-08
 2.81036e+01  6.93003e-08
 2.81406e+01  6.85791e-08
 2.81775e+01  6.78665e-08
 2.82144e+01  6.71626e-08
 2.82513e+01  6.64670e-08
 2.82883e+01  6.57799e-08
 2.83252e+01  6.51010e-08
 2.83621e+01  6.44303e-08
 2.83991e+01  6.37675e-08
 2.84360e+01  6.31128e-08
 2.84729e+01  6.24658e-08
 2.85099e+01  6.18267e-08
 2.85468e+01  6.11951e-08
 2.85837e+01  6.05711e-08
 2.86206e+01  5.99545e-08
 2.86576e+01  5.93454e-08
 2.86945e+01  5.87434e-08
 2.87314e+01  5.81487e-08
 2.87684e+01  5.75609e-08
 2.88053e+01  5.69803e-08
 2.88422e+01  5.64064e-08
 2.88792e+01  5.58394e-08
 2.89161e+01  5.52791e-08
 2.89530e+01  5.47256e-08
 2.89899e+01  5.41784e-08
 2.90269e+01  5.36379e-08
 2.90638e+01  5.31036e-08
 2.91007e+01  5.25758e-08
 2.91377e+01  5.20541e-08
 2.91746e+01  5.15387e-08
 2.92115e+01  5.10292e-08
 2.92485e+01  5.05259e-08
 2.92854e+01  5.00284e-08
 2.93223e+01  4.95368e-08
 2.93592e+01  4.90509e-08
 2.93962e+01  4.85709e-08
 2.94331e+01  4.80964e-08
 2.94700e+01  4.76275e-08
 2.95070e+01  4.71641e-08
 2.95439e+01  4.67062e-08
 2.95808e+01  4.62535e-08
 2.96177e+01  4.58063e-08
 2.96547e+01  4.53642e-08
 2.96916e+01  4.49274e-08
 2.97285e+01  4.44956e-08
 2.97655e+01  4.40689e-08
 2.98024e+01  4.36471e-08
 2.98393e+01  4.32304e-08
 2.98763e+01  4.28184e-08
 2.99132e+01  4.24113e-08
 2.99501e+01  4.20088e-08
 2.99870e+01  4.16112e-08
 3.00240e+01  4.12181e-08
 3.00609e+01  4.08296e-08
 3.00978e+01  4.04456e-08
