      r[a_0]     n[bound]   n[unbound]
6.156381e-03 1.883960e+00 4.240314e-01
6.236560e-03 1.883103e+00 4.238386e-01
6.317783e-03 1.882234e+00 4.236431e-01
6.400064e-03 1.881354e+00 4.234448e-01
6.483416e-03 1.880461e+00 4.232438e-01
6.567853e-03 1.879555e+00 4.230400e-01
6.653391e-03 1.878637e+00 4.228333e-01
6.740042e-03 1.877706e+00 4.226238e-01
6.827822e-03 1.876763e+00 4.224115e-01
6.916746e-03 1.875806e+00 4.221962e-01
7.006827e-03 1.874836e+00 4.219779e-01
7.098081e-03 1.873854e+00 4.217567e-01
7.190524e-03 1.872857e+00 4.215324e-01
7.284171e-03 1.871847e+00 4.213052e-01
7.379038e-03 1.870824e+00 4.210748e-01
7.475140e-03 1.869787e+00 4.208413e-01
7.572494e-03 1.868735e+00 4.206047e-01
7.671115e-03 1.867670e+00 4.203649e-01
7.771021e-03 1.866590e+00 4.201219e-01
7.872228e-03 1.865496e+00 4.198756e-01
7.974753e-03 1.864387e+00 4.196260e-01
8.078614e-03 1.863264e+00 4.193732e-01
8.183827e-03 1.862125e+00 4.191169e-01
8.290410e-03 1.860972e+00 4.188573e-01
8.398382e-03 1.859803e+00 4.185942e-01
8.507759e-03 1.858619e+00 4.183277e-01
8.618561e-03 1.857419e+00 4.180577e-01
8.730807e-03 1.856203e+00 4.177841e-01
8.844514e-03 1.854972e+00 4.175069e-01
8.959701e-03 1.853724e+00 4.172261e-01
9.076390e-03 1.852460e+00 4.169417e-01
9.194597e-03 1.851180e+00 4.166535e-01
9.314345e-03 1.849883e+00 4.163616e-01
9.435651e-03 1.848569e+00 4.160660e-01
9.558538e-03 1.847238e+00 4.157665e-01
9.683025e-03 1.845890e+00 4.154631e-01
9.809133e-03 1.844525e+00 4.151558e-01
9.936884e-03 1.843142e+00 4.148446e-01
1.006630e-02 1.841742e+00 4.145294e-01
1.019740e-02 1.840323e+00 4.142101e-01
1.033021e-02 1.838886e+00 4.138868e-01
1.046474e-02 1.837431e+00 4.135593e-01
1.060103e-02 1.835958e+00 4.132277e-01
1.073910e-02 1.834465e+00 4.128919e-01
