      r[a_0]     n(bound)   n(unbound)
1.637652e-03 7.467209e+03 2.139748e-08
1.659163e-03 7.460602e+03 2.236697e-08
1.680958e-03 7.453895e+03 2.338809e-08
1.703038e-03 7.447087e+03 2.446359e-08
1.725409e-03 7.440176e+03 2.559635e-08
1.748074e-03 7.433163e+03 2.678940e-08
1.771036e-03 7.426046e+03 2.804594e-08
1.794300e-03 7.418824e+03 2.936935e-08
1.817870e-03 7.411496e+03 3.076316e-08
1.841749e-03 7.404062e+03 3.223111e-08
1.865942e-03 7.396521e+03 3.377713e-08
1.890452e-03 7.388871e+03 3.540536e-08
1.915285e-03 7.381112e+03 3.712015e-08
1.940443e-03 7.373242e+03 3.892609e-08
1.965933e-03 7.365261e+03 4.082802e-08
1.991757e-03 7.357168e+03 4.283100e-08
2.017920e-03 7.348961e+03 4.494039e-08
2.044427e-03 7.340640e+03 4.716184e-08
2.071282e-03 7.332204e+03 4.950126e-08
2.098490e-03 7.323651e+03 5.196490e-08
2.126055e-03 7.314981e+03 5.455934e-08
2.153983e-03 7.306193e+03 5.729150e-08
2.182277e-03 7.297285e+03 6.016866e-08
2.210943e-03 7.288257e+03 6.319849e-08
2.239985e-03 7.279107e+03 6.638906e-08
2.269409e-03 7.269834e+03 6.974887e-08
2.299220e-03 7.260438e+03 7.328687e-08
2.329422e-03 7.250917e+03 7.701247e-08
2.360021e-03 7.241270e+03 8.093558e-08
2.391021e-03 7.231496e+03 8.506665e-08
2.422429e-03 7.221594e+03 8.941664e-08
2.454250e-03 7.211562e+03 9.399713e-08
2.486488e-03 7.201401e+03 9.882027e-08
2.519150e-03 7.191107e+03 1.038989e-07
2.552241e-03 7.180681e+03 1.092465e-07
2.585767e-03 7.170121e+03 1.148772e-07
2.619733e-03 7.159426e+03 1.208059e-07
2.654145e-03 7.148595e+03 1.270485e-07
2.689009e-03 7.137626e+03 1.336214e-07
2.724332e-03 7.126519e+03 1.405421e-07
2.760118e-03 7.115272e+03 1.478289e-07
2.796374e-03 7.103885e+03 1.555010e-07
2.833107e-03 7.092355e+03 1.635788e-07
2.870322e-03 7.080681e+03 1.720836e-07
2.908026e-03 7.068864e+03 1.810379e-07
2.946225e-03 7.056900e+03 1.904655e-07
2.984926e-03 7.044789e+03 2.003911e-07
3.024135e-03 7.032530e+03 2.108410e-07
3.063859e-03 7.020122e+03 2.218428e-07
3.104106e-03 7.007563e+03 2.334255e-07
3.144880e-03 6.994852e+03 2.456197e-07
3.186191e-03 6.981987e+03 2.584574e-07
3.228044e-03 6.968969e+03 2.719725e-07
3.270447e-03 6.955794e+03 2.862006e-07
3.313407e-03 6.942462e+03 3.011791e-07
3.356931e-03 6.928973e+03 3.169475e-07
3.401027e-03 6.915323e+03 3.335471e-07
3.445702e-03 6.901513e+03 3.510217e-07
3.490964e-03 6.887541e+03 3.694171e-07
3.536820e-03 6.873405e+03 3.887816e-07
3.583279e-03 6.859105e+03 4.091661e-07
3.630348e-03 6.844638e+03 4.306240e-07
3.678036e-03 6.830005e+03 4.532115e-07
3.726350e-03 6.815203e+03 4.769878e-07
3.775298e-03 6.800231e+03 5.020153e-07
3.824890e-03 6.785089e+03 5.283593e-07
3.875133e-03 6.769774e+03 5.560888e-07
3.926036e-03 6.754285e+03 5.852763e-07
3.977607e-03 6.738621e+03 6.159981e-07
4.029856e-03 6.722782e+03 6.483344e-07
4.082791e-03 6.706765e+03 6.823696e-07
4.136422e-03 6.690569e+03 7.181924e-07
4.190757e-03 6.674193e+03 7.558962e-07
4.245806e-03 6.657637e+03 7.955793e-07
4.301578e-03 6.640897e+03 8.373450e-07
4.358083e-03 6.623974e+03 8.813020e-07
4.415329e-03 6.606866e+03 9.275646e-07
4.473328e-03 6.589572e+03 9.762529e-07
4.532089e-03 6.572090e+03 1.027494e-06
4.591621e-03 6.554420e+03 1.081419e-06
4.651936e-03 6.536560e+03 1.138170e-06
4.713043e-03 6.518509e+03 1.197894e-06
4.774952e-03 6.500265e+03 1.260744e-06
4.837675e-03 6.481829e+03 1.326884e-06
4.901221e-03 6.463197e+03 1.396484e-06
4.965603e-03 6.444370e+03 1.469726e-06
5.030830e-03 6.425345e+03 1.546797e-06
5.096914e-03 6.406123e+03 1.627897e-06
5.163866e-03 6.386701e+03 1.713234e-06
5.231697e-03 6.367079e+03 1.803030e-06
5.300419e-03 6.347256e+03 1.897515e-06
5.370045e-03 6.327230e+03 1.996933e-06
5.440584e-03 6.307000e+03 2.101539e-06
5.512051e-03 6.286566e+03 2.211601e-06
5.584456e-03 6.265926e+03 2.327403e-06
5.657812e-03 6.245079e+03 2.449242e-06
5.732132e-03 6.224025e+03 2.577430e-06
5.807428e-03 6.202762e+03 2.712296e-06
5.883713e-03 6.181289e+03 2.854184e-06
5.961000e-03 6.159606e+03 3.003457e-06
6.039302e-03 6.137711e+03 3.160497e-06
6.118633e-03 6.115604e+03 3.325706e-06
6.199006e-03 6.093284e+03 3.499503e-06
6.280435e-03 6.070749e+03 3.682333e-06
6.362933e-03 6.048000e+03 3.874660e-06
6.446515e-03 6.025035e+03 4.076974e-06
6.531195e-03 6.001854e+03 4.289790e-06
6.616988e-03 5.978455e+03 4.513647e-06
6.703907e-03 5.954839e+03 4.749114e-06
6.791968e-03 5.931004e+03 4.996787e-06
6.881186e-03 5.906950e+03 5.257294e-06
6.971576e-03 5.882677e+03 5.531293e-06
7.063153e-03 5.858183e+03 5.819477e-06
7.155933e-03 5.833468e+03 6.122573e-06
7.249931e-03 5.808532e+03 6.441346e-06
7.345165e-03 5.783374e+03 6.776599e-06
7.441649e-03 5.757995e+03 7.129176e-06
7.539401e-03 5.732392e+03 7.499963e-06
7.638437e-03 5.706567e+03 7.889891e-06
7.738774e-03 5.680519e+03 8.299938e-06
7.840429e-03 5.654248e+03 8.731133e-06
7.943419e-03 5.627753e+03 9.184554e-06
8.047762e-03 5.601035e+03 9.661335e-06
8.153475e-03 5.574092e+03 1.016267e-05
8.260578e-03 5.546926e+03 1.068980e-05
8.369087e-03 5.519537e+03 1.124405e-05
8.479021e-03 5.491923e+03 1.182679e-05
8.590400e-03 5.464086e+03 1.243947e-05
8.703241e-03 5.436025e+03 1.308362e-05
8.817565e-03 5.407742e+03 1.376083e-05
8.933391e-03 5.379235e+03 1.447277e-05
9.050738e-03 5.350506e+03 1.522122e-05
9.169626e-03 5.321555e+03 1.600801e-05
9.290077e-03 5.292382e+03 1.683509e-05
9.412109e-03 5.262987e+03 1.770449e-05
9.535744e-03 5.233373e+03 1.861836e-05
9.661004e-03 5.203538e+03 1.957893e-05
9.787909e-03 5.173484e+03 2.058858e-05
9.916480e-03 5.143211e+03 2.164976e-05
1.004674e-02 5.112722e+03 2.276508e-05
1.017871e-02 5.082015e+03 2.393726e-05
1.031242e-02 5.051093e+03 2.516916e-05
1.044788e-02 5.019956e+03 2.646377e-05
1.058512e-02 4.988606e+03 2.782426e-05
1.072416e-02 4.957044e+03 2.925392e-05
1.086503e-02 4.925271e+03 3.075622e-05
1.100776e-02 4.893288e+03 3.233480e-05
1.115235e-02 4.861098e+03 3.399347e-05
1.129885e-02 4.828701e+03 3.573623e-05
1.144726e-02 4.796099e+03 3.756729e-05
