      r[a_0]     n(bound)   n(unbound) n(tightbound)
5.805986e-04 1.333802e+03 1.396178e+01 1.250431e+03
5.882593e-04 1.333909e+03 1.396289e+01 1.250530e+03
5.960211e-04 1.334007e+03 1.396391e+01 1.250623e+03
6.038853e-04 1.334097e+03 1.396485e+01 1.250707e+03
6.118532e-04 1.334178e+03 1.396570e+01 1.250783e+03
6.199263e-04 1.334252e+03 1.396647e+01 1.250852e+03
6.281060e-04 1.334317e+03 1.396714e+01 1.250913e+03
6.363935e-04 1.334374e+03 1.396774e+01 1.250967e+03
6.447904e-04 1.334422e+03 1.396824e+01 1.251012e+03
6.532981e-04 1.334463e+03 1.396866e+01 1.251050e+03
6.619180e-04 1.334495e+03 1.396899e+01 1.251080e+03
6.706517e-04 1.334519e+03 1.396924e+01 1.251103e+03
6.795006e-04 1.334535e+03 1.396940e+01 1.251118e+03
6.884663e-04 1.334542e+03 1.396947e+01 1.251125e+03
6.975503e-04 1.334542e+03 1.396946e+01 1.251124e+03
7.067541e-04 1.334533e+03 1.396936e+01 1.251116e+03
7.160793e-04 1.334516e+03 1.396917e+01 1.251100e+03
7.255277e-04 1.334490e+03 1.396890e+01 1.251076e+03
7.351006e-04 1.334457e+03 1.396855e+01 1.251045e+03
7.447999e-04 1.334415e+03 1.396810e+01 1.251005e+03
7.546272e-04 1.334365e+03 1.396757e+01 1.250958e+03
7.645841e-04 1.334307e+03 1.396696e+01 1.250904e+03
7.746724e-04 1.334240e+03 1.396625e+01 1.250842e+03
7.848938e-04 1.334166e+03 1.396547e+01 1.250772e+03
7.952501e-04 1.334083e+03 1.396459e+01 1.250694e+03
8.057430e-04 1.333991e+03 1.396363e+01 1.250608e+03
8.163744e-04 1.333892e+03 1.396258e+01 1.250515e+03
8.271461e-04 1.333784e+03 1.396144e+01 1.250414e+03
8.380598e-04 1.333668e+03 1.396022e+01 1.250305e+03
8.491176e-04 1.333543e+03 1.395890e+01 1.250188e+03
8.603213e-04 1.333410e+03 1.395750e+01 1.250063e+03
8.716728e-04 1.333269e+03 1.395602e+01 1.249931e+03
8.831741e-04 1.333119e+03 1.395444e+01 1.249791e+03
8.948271e-04 1.332961e+03 1.395278e+01 1.249642e+03
