      r[a_0]     n(bound)   n(unbound)
8.047762e-03 5.601035e+03 6.169703e-03
8.153475e-03 5.574092e+03 6.139068e-03
8.260578e-03 5.546926e+03 6.108186e-03
8.369087e-03 5.519536e+03 6.077057e-03
8.479021e-03 5.491923e+03 6.045683e-03
8.590400e-03 5.464086e+03 6.014064e-03
8.703241e-03 5.436025e+03 5.982204e-03
8.817565e-03 5.407742e+03 5.950102e-03
8.933391e-03 5.379235e+03 5.917760e-03
9.050738e-03 5.350506e+03 5.885180e-03
9.169626e-03 5.321555e+03 5.852365e-03
9.290077e-03 5.292382e+03 5.819316e-03
9.412109e-03 5.262987e+03 5.786035e-03
9.535744e-03 5.233373e+03 5.752524e-03
9.661004e-03 5.203538e+03 5.718788e-03
9.787909e-03 5.173484e+03 5.684827e-03
9.916480e-03 5.143211e+03 5.650646e-03
1.004674e-02 5.112722e+03 5.616247e-03
1.017871e-02 5.082015e+03 5.581633e-03
1.031242e-02 5.051093e+03 5.546809e-03
1.044788e-02 5.019956e+03 5.511779e-03
1.058512e-02 4.988606e+03 5.476545e-03
1.072416e-02 4.957044e+03 5.441113e-03
1.086503e-02 4.925271e+03 5.405488e-03
1.100776e-02 4.893288e+03 5.369673e-03
1.115235e-02 4.861098e+03 5.333675e-03
1.129885e-02 4.828701e+03 5.297498e-03
1.144726e-02 4.796099e+03 5.261148e-03
