      r[a_0]     n[bound]   n[unbound]
4.771815e-05 9.022921e+01 6.884268e+00
4.802673e-05 9.039912e+01 6.897232e+00
4.833730e-05 9.056809e+01 6.910124e+00
4.864989e-05 9.073613e+01 6.922945e+00
4.896449e-05 9.090324e+01 6.935695e+00
4.928113e-05 9.106943e+01 6.948375e+00
4.959982e-05 9.123469e+01 6.960984e+00
4.992057e-05 9.139903e+01 6.973523e+00
5.024339e-05 9.156246e+01 6.985992e+00
5.056830e-05 9.172498e+01 6.998392e+00
5.089532e-05 9.188660e+01 7.010723e+00
5.122444e-05 9.204731e+01 7.022985e+00
5.155570e-05 9.220712e+01 7.035178e+00
5.188910e-05 9.236604e+01 7.047303e+00
5.222465e-05 9.252407e+01 7.059360e+00
5.256237e-05 9.268121e+01 7.071350e+00
5.290228e-05 9.283747e+01 7.083272e+00
5.324438e-05 9.299285e+01 7.095127e+00
5.358870e-05 9.314736e+01 7.106916e+00
5.393524e-05 9.330100e+01 7.118638e+00
5.428403e-05 9.345377e+01 7.130294e+00
5.463507e-05 9.360567e+01 7.141884e+00
5.498838e-05 9.375672e+01 7.153409e+00
5.534398e-05 9.390691e+01 7.164868e+00
5.570187e-05 9.405626e+01 7.176262e+00
5.606208e-05 9.420475e+01 7.187592e+00
5.642462e-05 9.435240e+01 7.198857e+00
5.678950e-05 9.449921e+01 7.210059e+00
5.715674e-05 9.464519e+01 7.221196e+00
5.752636e-05 9.479033e+01 7.232271e+00
5.789837e-05 9.493465e+01 7.243282e+00
5.827278e-05 9.507814e+01 7.254230e+00
5.864962e-05 9.522081e+01 7.265115e+00
5.902889e-05 9.536267e+01 7.275938e+00
5.941061e-05 9.550371e+01 7.286700e+00
5.979481e-05 9.564395e+01 7.297399e+00
6.018148e-05 9.578338e+01 7.308037e+00
6.057066e-05 9.592201e+01 7.318615e+00
6.096236e-05 9.605984e+01 7.329131e+00
6.135658e-05 9.619688e+01 7.339586e+00
6.175336e-05 9.633313e+01 7.349982e+00
6.215270e-05 9.646859e+01 7.360317e+00
6.255463e-05 9.660327e+01 7.370593e+00
6.295915e-05 9.673717e+01 7.380810e+00
6.336629e-05 9.687030e+01 7.390967e+00
6.377606e-05 9.700266e+01 7.401065e+00
