     x         r      Vcoul     Vexc       V        rV      dNedr_b    dNedr_s   dNedr_f   dNedr      ne_b      ne_s      ne_f     ne
1.2884e-03 1.7977e-03 5.550e+02 2.654e-01 5.552e+02 9.981e-01 0.000e+00 1.709e-05 8.636e-05 1.709e-05 0.000e+00 4.207e-01 2.127e+00 4.207e-01 
1.2978e-03 1.8108e-03 5.509e+02 2.654e-01 5.512e+02 9.981e-01 0.000e+00 1.733e-05 8.731e-05 1.733e-05 0.000e+00 4.207e-01 2.119e+00 4.207e-01 
1.3072e-03 1.8239e-03 5.470e+02 2.654e-01 5.472e+02 9.981e-01 0.000e+00 1.759e-05 8.826e-05 1.759e-05 0.000e+00 4.207e-01 2.111e+00 4.207e-01 
1.3167e-03 1.8372e-03 5.430e+02 2.654e-01 5.433e+02 9.981e-01 0.000e+00 1.784e-05 8.922e-05 1.784e-05 0.000e+00 4.207e-01 2.104e+00 4.207e-01 
1.3263e-03 1.8505e-03 5.391e+02 2.654e-01 5.393e+02 9.981e-01 0.000e+00 1.810e-05 9.020e-05 1.810e-05 0.000e+00 4.207e-01 2.096e+00 4.207e-01 
1.3359e-03 1.8640e-03 5.352e+02 2.654e-01 5.354e+02 9.981e-01 0.000e+00 1.837e-05 9.118e-05 1.837e-05 0.000e+00 4.207e-01 2.088e+00 4.207e-01 
1.3457e-03 1.8775e-03 5.313e+02 2.654e-01 5.316e+02 9.980e-01 0.000e+00 1.864e-05 9.218e-05 1.864e-05 0.000e+00 4.207e-01 2.081e+00 4.207e-01 
1.3554e-03 1.8912e-03 5.275e+02 2.654e-01 5.277e+02 9.980e-01 0.000e+00 1.891e-05 9.318e-05 1.891e-05 0.000e+00 4.207e-01 2.073e+00 4.207e-01 
1.3653e-03 1.9049e-03 5.237e+02 2.654e-01 5.239e+02 9.980e-01 0.000e+00 1.918e-05 9.420e-05 1.918e-05 0.000e+00 4.207e-01 2.066e+00 4.207e-01 
1.3752e-03 1.9188e-03 5.199e+02 2.654e-01 5.201e+02 9.980e-01 0.000e+00 1.946e-05 9.523e-05 1.946e-05 0.000e+00 4.207e-01 2.058e+00 4.207e-01 
1.3852e-03 1.9327e-03 5.161e+02 2.654e-01 5.164e+02 9.980e-01 0.000e+00 1.974e-05 9.627e-05 1.974e-05 0.000e+00 4.206e-01 2.051e+00 4.206e-01 
1.3953e-03 1.9467e-03 5.124e+02 2.654e-01 5.126e+02 9.980e-01 0.000e+00 2.003e-05 9.732e-05 2.003e-05 0.000e+00 4.206e-01 2.043e+00 4.206e-01 
1.4054e-03 1.9609e-03 5.087e+02 2.654e-01 5.089e+02 9.980e-01 0.000e+00 2.032e-05 9.838e-05 2.032e-05 0.000e+00 4.206e-01 2.036e+00 4.206e-01 
1.4156e-03 1.9751e-03 5.050e+02 2.654e-01 5.053e+02 9.979e-01 0.000e+00 2.062e-05 9.945e-05 2.062e-05 0.000e+00 4.206e-01 2.029e+00 4.206e-01 
1.4259e-03 1.9895e-03 5.013e+02 2.654e-01 5.016e+02 9.979e-01 0.000e+00 2.092e-05 1.005e-04 2.092e-05 0.000e+00 4.206e-01 2.021e+00 4.206e-01 
1.4363e-03 2.0039e-03 4.977e+02 2.654e-01 4.980e+02 9.979e-01 0.000e+00 2.123e-05 1.016e-04 2.123e-05 0.000e+00 4.206e-01 2.014e+00 4.206e-01 
